player_id,num_sessions,total_playtime,in_game_purchases,days_since_last_session,level_reached,churn,country,device,avg_session_length,achievements_unlocked,social_interactions
P0001,23,25.886602034465387,3,22,99,1,Japan,Mobile,1.1255044362811037,33,2
P0002,15,38.55912832150679,2,15,53,0,UK,PC,2.5706085547671194,41,8
P0003,21,38.46286475319053,0,12,61,0,USA,Console,1.831564988247168,19,9
P0004,25,35.90145348336703,3,10,46,0,USA,Console,1.4360581393346812,96,9
P0005,15,62.44212262897623,3,16,85,1,USA,Console,4.162808175265082,67,7
P0006,17,47.09260791840795,2,16,74,1,UK,PC,2.7701534069651736,44,4
P0007,19,46.03227738034084,0,1,80,0,USA,Console,2.42275144107057,74,8
P0008,21,19.942064533898698,3,12,7,0,India,PC,0.9496221206618427,41,7
P0009,17,59.5312704531384,2,13,4,0,UK,Mobile,3.5018394384199056,46,5
P0010,19,31.41112407719791,4,10,91,0,Japan,Mobile,1.653217056694627,4,6
P0011,16,50.89898945399492,1,27,52,1,Canada,PC,3.1811868408746826,88,4
P0012,21,54.160654069372875,3,9,89,0,Japan,Console,2.5790787652082323,48,4
P0013,21,70.40987893757976,2,2,31,0,UK,PC,3.352851377979989,36,4
P0014,17,30.36769401321332,4,28,75,1,UK,PC,1.7863349419537247,33,5
P0015,22,5.0,0,26,84,1,Germany,PC,0.5,72,4
P0016,14,52.75774317130542,2,16,36,1,Germany,Mobile,3.768410226521816,69,7
P0017,17,77.0076677226628,1,14,54,0,Germany,PC,4.5298628072154585,17,2
P0018,17,68.58419529409156,1,8,54,0,Australia,Mobile,4.034364429064209,77,4
P0019,21,53.14489122911939,1,9,17,0,Australia,PC,2.5307091061485423,18,1
P0020,21,42.62545721551929,0,7,75,0,Brazil,Mobile,2.02978367692949,77,6
P0021,13,62.10683894955966,1,20,30,1,Australia,PC,4.777449149966127,39,1
P0022,18,35.39680700443297,2,12,99,0,India,PC,1.966489278024054,16,6
P0023,25,57.14536654034329,3,26,22,1,UK,Console,2.2858146616137316,59,6
P0024,17,57.5820523874994,5,17,43,1,Japan,Console,3.387179552205847,98,0
P0025,24,65.90314861248319,3,4,27,0,UK,PC,2.745964525520133,92,6
P0026,23,91.39490058366616,2,5,37,0,Germany,PC,3.9736913297246157,41,1
P0027,24,55.88623950768151,4,29,46,1,UK,PC,2.328593312820063,80,4
P0028,18,42.36554561438752,3,16,35,1,Canada,PC,2.353641423021529,71,6
P0029,26,49.616385317120084,2,10,4,0,Australia,Console,1.9083225121969263,64,7
P0030,18,23.463861426663225,1,19,80,1,UK,Mobile,1.303547857036846,52,6
P0031,17,39.579303033664125,1,15,80,0,Japan,PC,2.3281942960978896,99,3
P0032,23,43.86076342830344,4,8,85,0,USA,Console,1.9069897142740628,6,7
P0033,26,42.138674030981115,5,1,26,0,Canada,PC,1.620718231960812,4,6
P0034,14,52.28532308050583,1,4,19,0,Canada,PC,3.7346659343218453,23,5
P0035,24,37.66370101426699,3,0,81,0,UK,Mobile,1.5693208755944579,27,7
P0036,24,66.81546000986707,2,3,45,0,Brazil,PC,2.783977500411128,61,4
P0037,20,50.00310597377295,1,3,26,0,Germany,PC,2.5001552986886475,16,7
P0038,17,49.860495182920786,2,21,22,1,India,Mobile,2.9329703048776934,19,1
P0039,27,45.081579252306234,1,25,58,1,India,Mobile,1.6696881204557865,2,2
P0040,19,52.32786025788469,2,24,63,1,USA,Mobile,2.7540979083097206,36,2
P0041,16,62.37647397001452,1,2,28,0,India,Mobile,3.8985296231259077,89,6
P0042,17,36.9930467643365,0,8,65,0,India,Console,2.176061574372735,14,8
P0043,28,40.12825266387115,2,21,44,1,Germany,Console,1.4331518808525412,50,6
P0044,24,45.44410956835003,1,22,43,1,Australia,Console,1.893504565347918,47,0
P0045,27,29.811936147901775,2,11,37,0,Germany,PC,1.1041457832556214,7,10
P0046,17,37.71113210417754,3,9,66,0,Brazil,Mobile,2.2183018884810317,12,2
P0047,16,42.85668689683011,0,1,17,0,Japan,Mobile,2.678542931051882,47,5
P0048,19,63.11583771069091,0,10,40,0,USA,Console,3.3218861952995216,2,8
P0049,14,53.938419935028875,2,9,38,0,India,PC,3.852744281073491,64,5
P0050,29,52.90384867051316,1,29,85,1,Brazil,PC,1.8242706438107987,72,4
P0051,20,62.763469432519585,2,21,61,1,USA,PC,3.1381734716259793,30,3
P0052,32,47.93942317400905,3,5,9,0,Canada,Console,1.4981069741877828,25,7
P0053,20,55.856972748933345,2,17,77,1,India,PC,2.7928486374466672,80,7
P0054,17,48.451673706012556,3,1,75,0,India,PC,2.8500984532948563,55,3
P0055,21,53.980435240994424,3,29,61,1,Germany,PC,2.57049691623783,33,3
P0056,10,41.25862013582627,3,1,80,0,UK,Mobile,4.125862013582627,8,2
P0057,27,13.417742625853563,2,9,16,0,USA,Console,0.5,61,2
P0058,14,47.985812567205436,0,15,2,0,India,Mobile,3.427558040514674,12,7
P0059,22,71.3412220414991,2,11,72,0,Australia,Mobile,3.2427828200681406,68,4
P0060,16,63.893231033623884,2,0,43,0,USA,Console,3.9933269396014928,40,1
P0061,18,64.48096226886756,2,20,42,1,Japan,Mobile,3.582275681603753,76,3
P0062,22,68.54196082709326,3,7,77,0,Australia,PC,3.1155436739587845,0,10
P0063,13,51.32986386442156,1,15,57,0,Brazil,PC,3.9484510664939663,88,3
P0064,17,52.959735611083936,2,17,81,1,Australia,PC,3.1152785653578787,46,6
P0065,22,40.73522156848475,0,12,88,0,Brazil,PC,1.8516009803856703,3,4
P0066,20,45.25890715959425,0,14,67,0,UK,Console,2.2629453579797127,99,5
P0067,22,59.23656724656712,2,20,30,1,India,Mobile,2.6925712384803235,62,3
P0068,23,68.05826655753225,3,11,13,0,Australia,Mobile,2.9590550677187935,51,7
P0069,29,47.90830586478501,1,7,19,0,Japan,PC,1.652010547061552,9,5
P0070,18,43.24716102722883,1,9,7,0,Germany,PC,2.402620057068268,27,2
P0071,17,50.00791938284896,4,13,9,0,India,Mobile,2.941642316638174,5,6
P0072,25,59.01810123393672,1,4,83,0,USA,Console,2.3607240493574686,26,3
P0073,20,28.342177757996872,2,17,54,1,Canada,Mobile,1.4171088878998437,11,2
P0074,27,15.557285702941428,0,18,86,1,Brazil,PC,0.5761957667756085,61,7
P0075,18,41.74194725762625,4,14,82,0,USA,PC,2.318997069868125,51,6
P0076,26,31.68931361128762,3,5,61,0,UK,Console,1.218819754280293,47,3
P0077,22,42.37789703529034,2,26,87,1,Brazil,Mobile,1.9262680470586517,66,5
P0078,21,47.78329521773793,2,10,2,0,Germany,Console,2.275395010368473,45,7
P0079,13,43.2012738646548,3,20,50,1,Brazil,Console,3.323174912665754,96,4
P0080,21,71.78701301706118,3,10,75,0,Canada,PC,3.4184291912886278,73,4
P0081,22,54.9011714690348,1,19,31,1,Australia,Mobile,2.4955077940470365,94,3
P0082,23,54.507115394162426,3,19,33,1,Japan,PC,2.369874582354888,14,6
P0083,18,59.333107160651025,3,20,78,1,Australia,Mobile,3.296283731147279,70,4
P0084,22,32.917503233288464,0,17,80,1,India,PC,1.4962501469676575,35,5
P0085,22,65.58667681130403,4,24,11,1,Canada,PC,2.9812125823320015,13,7
P0086,13,48.863535701968104,4,17,33,1,Japan,Mobile,3.758733515536008,77,4
P0087,17,60.05720925861819,2,9,7,0,Canada,Mobile,3.5327770152128344,2,3
P0088,27,33.92214150439767,2,1,31,0,India,PC,1.256375611273988,66,1
P0089,24,26.693618509759034,2,25,48,1,Brazil,Mobile,1.112234104573293,85,5
P0090,21,62.26834487037543,0,29,47,1,UK,PC,2.965159279541687,18,8
P0091,15,55.64614289146275,2,8,78,0,India,Mobile,3.70974285943085,98,5
P0092,17,36.46922668463735,2,13,92,0,India,PC,2.1452486285080794,75,5
P0093,22,36.95505378087958,3,18,53,1,Japan,PC,1.6797751718581628,53,3
P0094,27,66.88152176622154,0,9,80,0,Germany,PC,2.477093398748946,68,3
P0095,17,32.15882160699008,1,22,19,1,Australia,Console,1.8916953886464754,9,6
P0096,25,74.64009429883944,3,3,81,0,Brazil,Mobile,2.9856037719535777,32,5
P0097,15,36.49068898028197,3,28,90,1,India,PC,2.4327125986854647,12,7
P0098,29,59.57587888412574,4,28,6,1,UK,Console,2.0543406511767497,98,6
P0099,21,45.07072286376523,0,5,49,0,USA,PC,2.146224898274535,50,8
P0100,14,59.047811466235146,3,13,73,0,Brazil,Console,4.217700819016796,31,8
P0101,26,41.838289968287114,1,3,50,0,Germany,PC,1.6091649987802736,74,8
P0102,23,47.558106408915584,2,25,81,1,Canada,PC,2.067743756909373,23,9
P0103,18,50.61378763093582,5,14,95,0,India,Console,2.8118770906075454,34,5
P0104,20,34.96718816327791,0,15,12,0,UK,Console,1.7483594081638956,82,3
P0105,24,61.11236518130189,1,6,23,0,Brazil,Mobile,2.546348549220912,69,4
P0106,23,42.30179650292622,3,16,54,1,UK,Mobile,1.839208543605488,39,5
P0107,26,46.571001269899725,3,18,69,1,UK,Console,1.7911923565346048,53,6
P0108,18,35.08475938087231,1,28,59,1,Australia,Mobile,1.9491532989373508,43,7
P0109,21,11.564995118070343,0,18,36,1,Japan,Console,0.5507140532414448,61,4
P0110,19,47.13458356099746,3,16,3,1,Canada,Mobile,2.4807675558419717,98,6
P0111,17,86.18923132419374,3,5,58,0,Germany,PC,5.069954783776103,67,13
P0112,7,61.769064318470356,0,28,88,1,Australia,Mobile,8.824152045495765,32,3
P0113,25,49.71109430398408,2,10,55,0,Brazil,PC,1.9884437721593633,76,7
P0114,14,46.05663756187599,0,15,57,0,India,PC,3.289759825848285,55,7
P0115,24,50.33698839218069,4,29,17,1,Germany,Mobile,2.0973745163408624,35,2
P0116,22,58.20678672762815,0,24,39,1,India,Console,2.6457630330740067,53,5
P0117,20,32.28780777036732,2,7,90,0,USA,PC,1.6143903885183661,18,2
P0118,20,66.71482542003308,1,10,68,0,UK,PC,3.335741271001654,42,4
P0119,24,60.73071973161866,0,6,55,0,USA,Mobile,2.530446655484111,11,3
P0120,19,60.772785885619015,1,25,45,1,Japan,Console,3.1985676781904746,10,3
P0121,25,56.57713608214591,2,23,76,1,UK,Console,2.2630854432858367,69,1
P0122,19,50.294249865409846,5,21,1,1,Canada,Mobile,2.647065782389992,11,7
P0123,15,60.0929185395023,1,24,21,1,Germany,Console,4.0061945693001535,90,4
P0124,21,58.87721200612067,3,18,83,1,India,Mobile,2.8036767621962224,40,9
P0125,22,44.68938933588464,1,25,21,1,Australia,Mobile,2.0313358789038474,24,4
P0126,30,41.39597340654649,5,9,52,0,Japan,Mobile,1.3798657802182164,2,6
